title,date_published,date_modified,content,road,town,location,all_text,fatalities_mentioned,fatalities_count,vehicles,accident_types,hospital,injuries,brands,day,time,age,latitude,longitude,hourly_temperature_2m,hourly_precipitation,hourly_rain,hourly_showers,hourly_visibility,hourly_windspeed_10m,hourly_winddirection_10m,daily_weather_code,daily_rain_sum,daily_wind_gusts_10m_max,daily_wind_speed_10m_max,daily_wind_direction_10m_dominant,weather_matched_hour_utc
Motorcycle accident in Naxxar,2025-03-16,2025-03-16,"This morning at around 0800hrs, a 40-year-old man from Ħaż-Żabbar, was hospitalised at Mater Dei following a traffic accident along the Coast Road in Naxxar.Preliminary investigations showed that the man was riding a Honda CBR motorcycle, lost control and crashed.He was assisted by a medical team and taken to hospital by an ambulance. Later he was certified with serious injuries.Magistrate Dr Joseph Mifsud LL.D was informed about the case and appointed a Magisterial Inquiry whilst Police investigation is still on going.",Coast Road,In-Naxxar,"('Coast Road', 'In-Naxxar')","Motorcycle accident in Naxxar This morning at around 0800hrs, a 40-year-old man from Ħaż-Żabbar, was hospitalised at Mater Dei following a traffic accident along the Coast Road in Naxxar.Preliminary investigations showed that the man was riding a Honda CBR motorcycle, lost control and crashed.He was assisted by a medical team and taken to hospital by an ambulance. Later he was certified with serious injuries.Magistrate Dr Joseph Mifsud LL.D was informed about the case and appointed a Magisterial Inquiry whilst Police investigation is still on going.",False,,['Motorcycle'],['Accident'],['Mater Dei'],['Serious'],['Honda'],Sunday,08:00,40,35.9133396,14.4432851,13.718999862670898,0.0,0.0,0.0,45560.0,11.44097900390625,294.1455383300781,3.0,0.0,41.39999771118164,22.65713119506836,308.3482360839844,2025-03-16 22:00:00+00:00
Italian woman grievously injured in a traffic accident,2025-04-22,2025-04-22,"An Italian woman was taken to Mater Dei Hospital for some injuries she suffered in a traffic accident in Cospicua Seafront, Cospicua at around 1300hrs.It resulted from initial investigations that the victim was hit by a Nissan March, which was being driven by a 48-year-old man from Kalkara.The woman was assisted by a medical team, taken to hospital by an ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",Cospicua Seafront,Bormla,"('Cospicua Seafront', 'Bormla')","Italian woman grievously injured in a traffic accident An Italian woman was taken to Mater Dei Hospital for some injuries she suffered in a traffic accident in Cospicua Seafront, Cospicua at around 1300hrs.It resulted from initial investigations that the victim was hit by a Nissan March, which was being driven by a 48-year-old man from Kalkara.The woman was assisted by a medical team, taken to hospital by an ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",False,,"['Pedestrian', 'Car']",['Accident'],['Mater Dei'],"['Some', 'Grievous']",['Nissan'],Tuesday,13:00,48,35.8825817,14.522721,15.536499977111816,0.0,0.0,0.0,8060.0,10.028438568115234,291.0375671386719,3.0,0.0,38.880001068115234,15.978486061096191,336.4913330078125,2025-04-22 22:00:00+00:00
Woman grievously injured in traffic accident,2025-05-08,2025-05-08,"A 32-year-old woman who lives in Għajnsielem, Gozo, at around 1015hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Żabbar Road, Fgura.Preliminary investigations showed that the victim was hit by a Ford Fiesta, which was being driven by a 78-year-old man residing in Marsascala.The woman was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",Żabbar Road,Il-Fgura,"('Żabbar Road', 'Il-Fgura')","Woman grievously injured in traffic accident A 32-year-old woman who lives in Għajnsielem, Gozo, at around 1015hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Żabbar Road, Fgura.Preliminary investigations showed that the victim was hit by a Ford Fiesta, which was being driven by a 78-year-old man residing in Marsascala.The woman was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",False,,"['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Ford'],Thursday,10:15,32,35.8728325,14.520799,19.802000045776367,0.0,0.0,0.0,47080.0,13.722564697265625,85.48609924316406,3.0,0.0,39.23999786376953,18.719999313354492,62.67471694946289,2025-05-08 22:00:00+00:00
Xewkija traffic accident,2025-06-14,2025-06-14,"Yesterday evening, at around ten (2200 hrs), the Police were informed of a traffic accident in Triq Sant ‘Elizabetta, Xewkija.From initial investigations it appears that a 64-year-old man from Xagħra was riding a Kentoya motorcycle when he crashed into a barrier and fell off.He was assisted by a medical team and taken by ambulance to the Gozo General Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",Triq Sant 'Elizabetta,Ix-Xewkija,"(""Triq Sant 'Elizabetta"", 'Ix-Xewkija')","Xewkija traffic accident Yesterday evening, at around ten (2200 hrs), the Police were informed of a traffic accident in Triq Sant ‘Elizabetta, Xewkija.From initial investigations it appears that a 64-year-old man from Xagħra was riding a Kentoya motorcycle when he crashed into a barrier and fell off.He was assisted by a medical team and taken by ambulance to the Gozo General Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",False,,['Motorcycle'],['Accident'],['Gozo General Hospital'],['Grievous'],['Kentoya'],Saturday,22:00,64,36.0323529,14.2609952,24.620498657226562,0.0,0.0,0.0,26600.0,2.4149534702301025,116.56498718261719,0.0,0.0,25.19999885559082,13.202726364135742,223.75466918945312,2025-06-14 22:00:00+00:00
Woman grievously injured in traffic accident,2025-09-21,2025-09-24,"A 77-year-old woman residing in Valletta, at around 0830hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Sa Maison Street, Tal-Pietà.Preliminary investigations showed that the victim was hit by a Hyundai I10, which was being driven by a 75-year-old man residing in Tas-Sliema.The woman was assisted by a medical team, taken to hospital by ambulance and certified that she was grievously injured.Police investigations are ongoing.",Sa Maison Street,Tal-Pieta',"('Sa Maison Street', ""Tal-Pieta'"")","Woman grievously injured in traffic accident A 77-year-old woman residing in Valletta, at around 0830hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Sa Maison Street, Tal-Pietà.Preliminary investigations showed that the victim was hit by a Hyundai I10, which was being driven by a 75-year-old man residing in Tas-Sliema.The woman was assisted by a medical team, taken to hospital by ambulance and certified that she was grievously injured.Police investigations are ongoing.",False,,"['Pedestrian', 'Car']",['Accident'],['Mater Dei'],[],['Hyundai'],Sunday,08:30,77,35.892353,14.4934881,23.11250114440918,0.0,0.0,0.0,47860.0,3.054701328277588,135.00010681152344,2.0,0.0,26.639999389648438,10.315114974975586,109.1855697631836,2025-09-21 22:00:00+00:00
Man grievously injured in a traffic accident,2025-04-17,2025-04-17,"An 80-year-old man, a resident of Santa Luċija, was taken to Mater Dei Hospital for some injuries he sustained in a traffic accident in Luqa Road, Luqa.It resulted from initial investigations that the victim was hit by Nissan NV 200, which was being driven by a 22-year-old man from Għaxaq.The man was assisted by a medical team, taken to hospital by an ambulance and later certified to have sustained grievous injuries.Police investigations are ongoing.",Luqa Road,Ħal Luqa,"('Luqa Road', 'Ħal Luqa')","Man grievously injured in a traffic accident An 80-year-old man, a resident of Santa Luċija, was taken to Mater Dei Hospital for some injuries he sustained in a traffic accident in Luqa Road, Luqa.It resulted from initial investigations that the victim was hit by Nissan NV 200, which was being driven by a 22-year-old man from Għaxaq.The man was assisted by a medical team, taken to hospital by an ambulance and later certified to have sustained grievous injuries.Police investigations are ongoing.",False,,"['Pedestrian', 'Car']",['Accident'],['Mater Dei'],"['Some', 'Grievous']",['Nissan'],Thursday,12:00,80,35.859653,14.4892913,13.357000350952148,0.0,0.0,0.0,29360.0,6.214563369750977,259.9920959472656,3.0,0.0,60.12000274658203,27.117345809936523,281.5909118652344,2025-04-17 22:00:00+00:00
Traffic accident in Paola,2025-02-21,2025-02-21,"Two persons were injured in a collision which occurred early this morning in Triq il-Baċir, Paola.At around half past seven 0730hrs, when the Police were informed of a traffic accident in which a Toyota Ractis driver, an 80-year-old man from Paola, lost control and crashed into a wall. Another 80-year-old man from Paola was also a passenger in the same vehicle.A medical team was called on site and an ambulance took the two men to Mater Dei Hospital. They were later certified to have sustained grievous injuries.Police investigations into the accident are ongoing.",Triq il-Baċir,Raħal Ġdid,"('Triq il-Baċir', 'Raħal Ġdid')","Traffic accident in Paola Two persons were injured in a collision which occurred early this morning in Triq il-Baċir, Paola.At around half past seven 0730hrs, when the Police were informed of a traffic accident in which a Toyota Ractis driver, an 80-year-old man from Paola, lost control and crashed into a wall. Another 80-year-old man from Paola was also a passenger in the same vehicle.A medical team was called on site and an ambulance took the two men to Mater Dei Hospital. They were later certified to have sustained grievous injuries.Police investigations into the accident are ongoing.",False,,['Car'],"['Collision', 'Accident']",['Mater Dei'],['Grievous'],['Toyota'],Friday,07:30,80,35.8717994,14.5073748,12.464999198913574,0.0,0.0,0.0,56400.0,7.993297576904297,97.76508331298828,80.0,0.0,32.76000213623047,13.397611618041992,87.17059326171875,2025-02-21 22:00:00+00:00
Girl grievously injured in a traffic accident,2024-12-22,2024-12-22,"A 13-year-old girl, at around 1015hrs, was taken to Mater Dei Hospital after being injured in a traffic accident in Triq Sir Philip Pullicino, Mtarfa.Preliminary investigations showed that the girl, who was riding a bicycle, was hit by a Ford B Max that was being driven by a 25-year-old man from Mtarfa.The girl was assisted by a medical team, taken to hospital by an ambulance and later certified to have sustained grievous injuries.Police investigations are ongoing",Triq Sir Philip Pullicino,L-Imtarfa,"('Triq Sir Philip Pullicino', 'L-Imtarfa')","Girl grievously injured in a traffic accident A 13-year-old girl, at around 1015hrs, was taken to Mater Dei Hospital after being injured in a traffic accident in Triq Sir Philip Pullicino, Mtarfa.Preliminary investigations showed that the girl, who was riding a bicycle, was hit by a Ford B Max that was being driven by a 25-year-old man from Mtarfa.The girl was assisted by a medical team, taken to hospital by an ambulance and later certified to have sustained grievous injuries.Police investigations are ongoing",False,,"['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Ford'],Sunday,10:15,13,35.8915754,14.3978902,14.236000061035156,0.10000000149011612,0.0,0.10000000149011612,20500.0,29.21550178527832,292.45697021484375,3.0,0.0,58.679996490478516,29.21550178527832,301.688720703125,2024-12-22 22:00:00+00:00
A collission in Floriana,2025-02-21,2025-02-21,"A 61-year-old coachman was grievously injured in an accident which occurred at around 1330 hrs in Triq Nazzjonali, Floriana.Preliminary investigations showed that a collision took place between a coachman who resides in Qormi and a Peugeot 508 driven by a 31-year-old man from Cospicua.A medical team was called on site and an ambulance took the man to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations into the accident are ongoing.",Triq Nazzjonali,Floriana,"('Triq Nazzjonali', 'Floriana')","A collission in Floriana A 61-year-old coachman was grievously injured in an accident which occurred at around 1330 hrs in Triq Nazzjonali, Floriana.Preliminary investigations showed that a collision took place between a coachman who resides in Qormi and a Peugeot 508 driven by a 31-year-old man from Cospicua.A medical team was called on site and an ambulance took the man to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations into the accident are ongoing.",False,,['Motorcycle'],"['Collision', 'Accident']",['Mater Dei'],['Grievous'],['Peugeot'],Friday,13:30,61,35.8929838,14.5052716,12.4714994430542,0.0,0.0,0.0,56400.0,7.993297576904297,97.76508331298828,80.0,0.0,32.76000213623047,13.397611618041992,87.17059326171875,2025-02-21 22:00:00+00:00
Man seriously injured in traffic accident,2025-09-14,2025-09-14,"A 54-year-old man, a resident of Marsa, sustained serious injuries after he was involved in a traffic accident in Triq il-Perit Dom Mintoff, Paola yesterday at around 9pm (2100 hrs).From initial investigations it appears that for some reason the driver who was driving a Honda Fit lost control and crashed into an electricity pole.A medical team assisted the man and was taken to Mater Dei Hospital by ambulance.Magistrate Dr Monica Borg Galea LL.D. was informed and appointed an inquiry while Police investigations in connection with this incident are ongoing.",Triq il-Perit Dom Mintoff,Raħal Ġdid,"('Triq il-Perit Dom Mintoff', 'Raħal Ġdid')","Man seriously injured in traffic accident A 54-year-old man, a resident of Marsa, sustained serious injuries after he was involved in a traffic accident in Triq il-Perit Dom Mintoff, Paola yesterday at around 9pm (2100 hrs).From initial investigations it appears that for some reason the driver who was driving a Honda Fit lost control and crashed into an electricity pole.A medical team assisted the man and was taken to Mater Dei Hospital by ambulance.Magistrate Dr Monica Borg Galea LL.D. was informed and appointed an inquiry while Police investigations in connection with this incident are ongoing.",False,,['Motorcycle'],['Accident'],['Mater Dei'],['Serious'],['Honda'],Sunday,21:00,54,35.8717994,14.5073748,23.26500129699707,0.0,0.0,0.0,20600.0,5.447788238525391,277.59454345703125,3.0,0.0,25.559999465942383,9.746630668640137,270.258056640625,2025-09-14 22:00:00+00:00
