accident_types,age,all_text,brands,content,daily_rain_sum,daily_weather_code,daily_wind_direction_10m_dominant,daily_wind_gusts_10m_max,daily_wind_speed_10m_max,date_modified,date_published,day,hospital,hourly_precipitation,hourly_rain,hourly_showers,hourly_temperature_2m,hourly_visibility,hourly_winddirection_10m,hourly_windspeed_10m,injuries,latitude,longitude,road,time,title,town,vehicles
['Accident'],40.0,"Motorcycle accident in Naxxar This morning at around 0800hrs, a 40-year-old man from Ħaż-Żabbar, was hospitalised at Mater Dei following a traffic accident along the Coast Road in Naxxar.Preliminary investigations showed that the man was riding a Honda CBR motorcycle, lost control and crashed.He was assisted by a medical team and taken to hospital by an ambulance. Later he was certified with serious injuries.Magistrate Dr Joseph Mifsud LL.D was informed about the case and appointed a Magisterial Inquiry whilst Police investigation is still on going.",['Honda'],"This morning at around 0800hrs, a 40-year-old man from Ħaż-Żabbar, was hospitalised at Mater Dei following a traffic accident along the Coast Road in Naxxar.Preliminary investigations showed that the man was riding a Honda CBR motorcycle, lost control and crashed.He was assisted by a medical team and taken to hospital by an ambulance. Later he was certified with serious injuries.Magistrate Dr Joseph Mifsud LL.D was informed about the case and appointed a Magisterial Inquiry whilst Police investigation is still on going.",0.0,3.0,311.10845947265625,45.71999740600586,20.37103843688965,2025-03-16,2025-03-16,Sunday,['Mater Dei'],0.0,0.0,0.0,16.021499633789062,36040.0,313.36346435546875,17.82636260986328,['serious'],35.8753368,14.5374788,,08:00,Motorcycle accident in Naxxar,Ħaż-Żabbar,['Motorcycle']
['Accident'],48.0,"Italian woman grievously injured in a traffic accident An Italian woman was taken to Mater Dei Hospital for some injuries she suffered in a traffic accident in Cospicua Seafront, Cospicua at around 1300hrs.It resulted from initial investigations that the victim was hit by a Nissan March, which was being driven by a 48-year-old man from Kalkara.The woman was assisted by a medical team, taken to hospital by an ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",['Nissan'],"An Italian woman was taken to Mater Dei Hospital for some injuries she suffered in a traffic accident in Cospicua Seafront, Cospicua at around 1300hrs.It resulted from initial investigations that the victim was hit by a Nissan March, which was being driven by a 48-year-old man from Kalkara.The woman was assisted by a medical team, taken to hospital by an ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",,,,,,2025-04-22,2025-04-22,Tuesday,['Mater Dei'],,,,,,,,"['grievous', 'some']",,,,13:00,Italian woman grievously injured in a traffic accident,,"['Car', 'Pedestrian']"
['Accident'],32.0,"Woman grievously injured in traffic accident A 32-year-old woman who lives in Għajnsielem, Gozo, at around 1015hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Żabbar Road, Fgura.Preliminary investigations showed that the victim was hit by a Ford Fiesta, which was being driven by a 78-year-old man residing in Marsascala.The woman was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",['Ford'],"A 32-year-old woman who lives in Għajnsielem, Gozo, at around 1015hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Żabbar Road, Fgura.Preliminary investigations showed that the victim was hit by a Ford Fiesta, which was being driven by a 78-year-old man residing in Marsascala.The woman was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",0.0,3.0,67.83712768554688,39.23999786376953,19.930479049682617,2025-05-08,2025-05-08,Thursday,['Mater Dei'],0.0,0.0,0.0,20.82000160217285,48580.0,2.544755697250366,16.215991973876953,['grievous'],36.0288642,14.2871759,,10:15,Woman grievously injured in traffic accident,Għajnsielem,"['Car', 'Pedestrian']"
['Accident'],64.0,"Xewkija traffic accident Yesterday evening, at around ten (2200 hrs), the Police were informed of a traffic accident in Triq Sant ‘Elizabetta, Xewkija.From initial investigations it appears that a 64-year-old man from Xagħra was riding a Kentoya motorcycle when he crashed into a barrier and fell off.He was assisted by a medical team and taken by ambulance to the Gozo General Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",['Kentoya'],"Yesterday evening, at around ten (2200 hrs), the Police were informed of a traffic accident in Triq Sant ‘Elizabetta, Xewkija.From initial investigations it appears that a 64-year-old man from Xagħra was riding a Kentoya motorcycle when he crashed into a barrier and fell off.He was assisted by a medical team and taken by ambulance to the Gozo General Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",,,,,,2025-06-14,2025-06-14,Saturday,['Gozo General Hospital'],,,,,,,,['grievous'],,,,22:00,Xewkija traffic accident,,['Motorcycle']
['Accident'],77.0,"Woman grievously injured in traffic accident A 77-year-old woman residing in Valletta, at around 0830hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Sa Maison Street, Tal-Pietà.Preliminary investigations showed that the victim was hit by a Hyundai I10, which was being driven by a 75-year-old man residing in Tas-Sliema.The woman was assisted by a medical team, taken to hospital by ambulance and certified that she was grievously injured.Police investigations are ongoing.",['Hyundai'],"A 77-year-old woman residing in Valletta, at around 0830hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Sa Maison Street, Tal-Pietà.Preliminary investigations showed that the victim was hit by a Hyundai I10, which was being driven by a 75-year-old man residing in Tas-Sliema.The woman was assisted by a medical team, taken to hospital by ambulance and certified that she was grievously injured.Police investigations are ongoing.",0.0,2.0,109.1855697631836,26.639999389648438,10.315114974975586,2025-09-24,2025-09-21,Sunday,['Mater Dei'],0.0,0.0,0.0,25.3799991607666,64400.0,95.71050262451172,7.235910415649414,[],35.9127609,14.5020708,,08:30,Woman grievously injured in traffic accident,Tas-Sliema,"['Car', 'Pedestrian']"
['Accident'],80.0,"Man grievously injured in a traffic accident An 80-year-old man, a resident of Santa Luċija, was taken to Mater Dei Hospital for some injuries he sustained in a traffic accident in Luqa Road, Luqa.It resulted from initial investigations that the victim was hit by Nissan NV 200, which was being driven by a 22-year-old man from Għaxaq.The man was assisted by a medical team, taken to hospital by an ambulance and later certified to have sustained grievous injuries.Police investigations are ongoing.",['Nissan'],"An 80-year-old man, a resident of Santa Luċija, was taken to Mater Dei Hospital for some injuries he sustained in a traffic accident in Luqa Road, Luqa.It resulted from initial investigations that the victim was hit by Nissan NV 200, which was being driven by a 22-year-old man from Għaxaq.The man was assisted by a medical team, taken to hospital by an ambulance and later certified to have sustained grievous injuries.Police investigations are ongoing.",0.0,3.0,281.5909118652344,60.12000274658203,27.117345809936523,2025-04-17,2025-04-17,Thursday,['Mater Dei'],0.0,0.0,0.0,18.51099967956543,64540.0,275.3320617675781,27.117345809936523,"['grievous', 'some']",35.8627784,14.5047695,,12:00,Man grievously injured in a traffic accident,Santa Luċija,"['Car', 'Pedestrian']"
"['Collision', 'Accident']",80.0,"Traffic accident in Paola Two persons were injured in a collision which occurred early this morning in Triq il-Baċir, Paola.At around half past seven 0730hrs, when the Police were informed of a traffic accident in which a Toyota Ractis driver, an 80-year-old man from Paola, lost control and crashed into a wall. Another 80-year-old man from Paola was also a passenger in the same vehicle.A medical team was called on site and an ambulance took the two men to Mater Dei Hospital. They were later certified to have sustained grievous injuries.Police investigations into the accident are ongoing.",['Toyota'],"Two persons were injured in a collision which occurred early this morning in Triq il-Baċir, Paola.At around half past seven 0730hrs, when the Police were informed of a traffic accident in which a Toyota Ractis driver, an 80-year-old man from Paola, lost control and crashed into a wall. Another 80-year-old man from Paola was also a passenger in the same vehicle.A medical team was called on site and an ambulance took the two men to Mater Dei Hospital. They were later certified to have sustained grievous injuries.Police investigations into the accident are ongoing.",,,,,,2025-02-21,2025-02-21,Friday,['Mater Dei'],,,,,,,,['grievous'],,,,07:30,Traffic accident in Paola,,['Car']
['Accident'],13.0,"Girl grievously injured in a traffic accident A 13-year-old girl, at around 1015hrs, was taken to Mater Dei Hospital after being injured in a traffic accident in Triq Sir Philip Pullicino, Mtarfa.Preliminary investigations showed that the girl, who was riding a bicycle, was hit by a Ford B Max that was being driven by a 25-year-old man from Mtarfa.The girl was assisted by a medical team, taken to hospital by an ambulance and later certified to have sustained grievous injuries.Police investigations are ongoing",['Ford'],"A 13-year-old girl, at around 1015hrs, was taken to Mater Dei Hospital after being injured in a traffic accident in Triq Sir Philip Pullicino, Mtarfa.Preliminary investigations showed that the girl, who was riding a bicycle, was hit by a Ford B Max that was being driven by a 25-year-old man from Mtarfa.The girl was assisted by a medical team, taken to hospital by an ambulance and later certified to have sustained grievous injuries.Police investigations are ongoing",,,,,,2024-12-22,2024-12-22,Sunday,['Mater Dei'],,,,,,,,['grievous'],,,,10:15,Girl grievously injured in a traffic accident,,"['Car', 'Pedestrian']"
"['Collision', 'Accident']",61.0,"A collission in Floriana A 61-year-old coachman was grievously injured in an accident which occurred at around 1330 hrs in Triq Nazzjonali, Floriana.Preliminary investigations showed that a collision took place between a coachman who resides in Qormi and a Peugeot 508 driven by a 31-year-old man from Cospicua.A medical team was called on site and an ambulance took the man to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations into the accident are ongoing.",['Peugeot'],"A 61-year-old coachman was grievously injured in an accident which occurred at around 1330 hrs in Triq Nazzjonali, Floriana.Preliminary investigations showed that a collision took place between a coachman who resides in Qormi and a Peugeot 508 driven by a 31-year-old man from Cospicua.A medical team was called on site and an ambulance took the man to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations into the accident are ongoing.",0.0,80.0,87.17059326171875,32.76000213623047,13.397611618041992,2025-02-21,2025-02-21,Friday,['Mater Dei'],0.10000000149011612,0.0,0.10000000149011612,15.121500015258789,45580.0,71.07526397705078,13.319999694824219,['grievous'],35.8929838,14.5052716,Triq Nazzjonali,13:30,A collission in Floriana,Floriana,['Motorcycle']
['Accident'],54.0,"Man seriously injured in traffic accident A 54-year-old man, a resident of Marsa, sustained serious injuries after he was involved in a traffic accident in Triq il-Perit Dom Mintoff, Paola yesterday at around 9pm (2100 hrs).From initial investigations it appears that for some reason the driver who was driving a Honda Fit lost control and crashed into an electricity pole.A medical team assisted the man and was taken to Mater Dei Hospital by ambulance.Magistrate Dr Monica Borg Galea LL.D. was informed and appointed an inquiry while Police investigations in connection with this incident are ongoing.",['Honda'],"A 54-year-old man, a resident of Marsa, sustained serious injuries after he was involved in a traffic accident in Triq il-Perit Dom Mintoff, Paola yesterday at around 9pm (2100 hrs).From initial investigations it appears that for some reason the driver who was driving a Honda Fit lost control and crashed into an electricity pole.A medical team assisted the man and was taken to Mater Dei Hospital by ambulance.Magistrate Dr Monica Borg Galea LL.D. was informed and appointed an inquiry while Police investigations in connection with this incident are ongoing.",,,,,,2025-09-14,2025-09-14,Sunday,['Mater Dei'],,,,,,,,['serious'],,,,21:00,Man seriously injured in traffic accident,,['Motorcycle']
"['Collision', 'Accident']",55.0,"Man grievously injured in traffic accident Yesterday, at around quarter past three in the afternoon (1515 hrs), the Police were informed of a traffic accident in Triq Emmanuele Luigi Galizia, Marsa.Preliminary investigations showed that a collision occurred between a Daelim motorcycle driven by a 55-year-old man from Birżebbuġa and a BMW 318 driven by a 33-year-old woman from Luqa. A 74-year-old man from Luqa was passenger in the car.The motorcyclist was assisted by a medical team and taken to Mater Dei Hospital by ambulance, where he was later certified to have sustained grievous injuries.Police investigations are ongoing.","['Bmw', 'Daelim']","Yesterday, at around quarter past three in the afternoon (1515 hrs), the Police were informed of a traffic accident in Triq Emmanuele Luigi Galizia, Marsa.Preliminary investigations showed that a collision occurred between a Daelim motorcycle driven by a 55-year-old man from Birżebbuġa and a BMW 318 driven by a 33-year-old woman from Luqa. A 74-year-old man from Luqa was passenger in the car.The motorcyclist was assisted by a medical team and taken to Mater Dei Hospital by ambulance, where he was later certified to have sustained grievous injuries.Police investigations are ongoing.",0.0,3.0,283.63189697265625,24.479999542236328,13.854154586791992,2025-08-30,2025-08-30,Saturday,['Mater Dei'],0.0,0.0,0.0,30.147499084472656,64540.0,276.340087890625,9.779816627502441,['grievous'],35.8269478,14.5274189,Triq Emmanuele Luigi Galizia,15:15,Man grievously injured in traffic accident,Birżebbuġa,['Motorcycle']
"['Collision', 'Accident']",50.0,"Traffic accident in Gudja Yesterday, at around (1945hrs), the police were informed of a traffic accident in Dawret il-Gudja, Gudja.Preliminary investigations showed that a collision occurred between a Skoda Fabia driven by a 50-year-old man from Gudja and a Ford Fiesta, who at the time was on the side of the road with a puncture.At the time of the impact, a 29-year-old man from Birzebbugia was injured after he was trapped between the two vehicles.The victim was assisted by a medical team, taken to Mater Dei Hospital by ambulance and certified with serious injuries.Magistrate Dr Ian Farrugia LL. D was informed of the case and appointed an inquiry.Civil Protection Department personnel were also on site to assist.Police investigations are still ongoing.","['Skoda', 'Ford']","Yesterday, at around (1945hrs), the police were informed of a traffic accident in Dawret il-Gudja, Gudja.Preliminary investigations showed that a collision occurred between a Skoda Fabia driven by a 50-year-old man from Gudja and a Ford Fiesta, who at the time was on the side of the road with a puncture.At the time of the impact, a 29-year-old man from Birzebbugia was injured after he was trapped between the two vehicles.The victim was assisted by a medical team, taken to Mater Dei Hospital by ambulance and certified with serious injuries.Magistrate Dr Ian Farrugia LL. D was informed of the case and appointed an inquiry.Civil Protection Department personnel were also on site to assist.Police investigations are still ongoing.",0.0,3.0,256.5732116699219,37.79999923706055,17.317459106445312,2024-12-14,2024-12-14,Saturday,['Mater Dei'],0.0,0.0,0.0,16.350500106811523,33060.0,315.0000915527344,12.727921485900879,['serious'],35.8483258,14.5030882,,19:45,Traffic accident in Gudja,Il-Gudja,['Car']
['Accident'],53.0,"Man grievously injured in traffic accident A 53-year-old man who lives in Msida, at around 1000hrs, was taken to Mater Dei Hospital because he was injured in a traffic accident in Triq L. Zamenhof corner with Triq Xmiexi, Msida.Preliminary investigations showed that the man was hit by a Ford Transit, which was being driven by a 24-year-old man also residing in Msida.The man was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",['Ford'],"A 53-year-old man who lives in Msida, at around 1000hrs, was taken to Mater Dei Hospital because he was injured in a traffic accident in Triq L. Zamenhof corner with Triq Xmiexi, Msida.Preliminary investigations showed that the man was hit by a Ford Transit, which was being driven by a 24-year-old man also residing in Msida.The man was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",,,,,,2025-05-07,2025-05-07,Wednesday,['Mater Dei'],,,,,,,,['grievous'],,,,10:00,Man grievously injured in traffic accident,,"['Car', 'Pedestrian']"
